tax	AnaholaK-F5	AnaholaK-F6	Dennisom2b1	Dennisom3d1	Hanalei_spiritsK-H1	Hanalei_spiritsK-H2	Hanalei_spiritsK-H3	Hanalei_spiritsK-H4	Mac_nutsK-I1	Mac_nutsK-I2	Mac_nutsK-I3	Torintinos1	Torintinos2	Torintinos3	TorintinosWild	Waikele40	Waikele41	helieva161	helieva190	old_houseK-G1	punaluu1	punaluu2	punaluu3	total
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus kimbladii	3	14	2	10	1	4	0	5	4	6	0	10	0	30	0	11	8	5	29	0	0	0	6	148
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Snodgrassella;Snodgrassella gandavensis	3	7	3	4	1	8	2	18	6	9	0	5	0	10	0	0	5	2	45	2	0	0	13	143
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Bombilactobacillus;Bombilactobacillus mellifer	5	14	3	12	6	8	6	10	9	16	0	1	0	0	0	2	12	0	29	2	0	0	8	143
Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Snodgrassella;Snodgrassella communis	4	13	0	12	2	4	2	11	6	13	0	2	0	8	0	3	3	2	31	1	0	0	10	127
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus kullabergensis	4	9	2	18	1	0	0	3	2	4	0	6	0	21	0	13	6	1	26	1	0	0	8	125
Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Commensalibacter;Commensalibacter intestini	4	14	7	9	5	3	3	5	5	5	0	0	0	3	0	0	0	6	31	9	0	0	13	122
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium polysaccharolyticum	4	5	2	9	0	3	0	6	4	12	0	4	0	21	0	0	1	6	25	0	0	0	5	107
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Orbales;Orbaceae;Frischella;Frischella japonica	2	11	4	11	1	2	1	3	2	7	0	2	0	5	0	8	6	0	19	0	0	0	13	97
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Entomomonas;Entomomonas moraniae	2	0	11	5	0	6	4	6	26	13	0	1	0	2	0	0	0	1	5	12	0	0	1	95
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Arsenophonus;Arsenophonus nasoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	93
Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Bartonellaceae;Bartonella;Bartonella apis	0	6	3	3	1	5	3	4	2	5	0	4	0	5	0	0	1	21	12	1	0	0	9	85
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Halotthiaceae;Brunneoclavispora;Brunneoclavispora bambusae	2	2	11	14	0	2	1	0	0	0	0	3	0	18	0	2	13	2	6	3	0	0	5	84
Eukaryota;Metazoa;Chordata;Mammalia;Artiodactyla;Suidae;Sus;Sus scrofa	0	2	1	0	53	1	1	0	1	4	0	0	0	0	0	0	0	0	2	2	0	0	0	67
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Dysgonomonas;Dysgonomonas gadei	0	0	0	0	0	9	6	3	15	27	0	0	0	0	0	0	0	0	0	5	0	0	0	65
Viruses;Viruses_Incertae_sedis;Viruses_Incertae_sedis;Viruses_Incertae_sedis;Viruses_Incertae_sedis;Polydnaviriformidae;Ichnoviriform;Ichnoviriform fumiferanae	5	4	1	0	7	4	0	8	1	20	0	0	0	0	0	1	2	0	0	10	0	0	1	64
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus laiwuensis	2	6	0	7	1	1	1	1	0	0	0	7	0	5	0	7	4	1	15	0	0	0	4	62
Viruses;Orthornavirae;Kitrinoviricota;Magsaviricetes;Nodamuvirales;Sinhaliviridae;Sinaivirus;Lake Sinai Virus SA2	0	0	30	12	0	0	0	0	0	0	0	0	0	0	0	10	7	0	3	0	0	0	0	62
Viruses;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Dicistroviridae;Triatovirus;Triatovirus nigereginacellulae	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	40	5	0	0	0	1	0	14	61
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus panisapium	1	3	1	12	0	2	0	1	0	1	0	3	0	11	0	3	5	1	7	0	0	0	2	53
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Apibacter;Apibacter adventoris	1	3	8	3	2	0	3	2	3	3	0	0	0	1	0	0	2	2	14	1	0	0	3	51
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium mizhiense	2	5	2	11	0	2	0	3	3	3	0	4	0	2	0	0	1	0	4	2	0	0	5	49
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Dysgonomonas;Dysgonomonas capnocytophagoides	1	1	2	2	0	1	4	9	5	17	0	0	0	0	0	0	0	0	0	7	0	0	0	49
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium apousia	4	4	0	10	0	3	1	3	1	3	0	0	0	5	0	1	1	1	4	0	0	0	2	43
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium choladohabitans	3	3	0	5	2	0	0	6	1	8	0	3	0	2	0	0	2	0	5	1	0	0	0	41
Viruses;Orthornavirae;Kitrinoviricota;Magsaviricetes;Nodamuvirales;Sinhaliviridae;Sinaivirus;Lake Sinai virus 1	0	0	1	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	15	0	0	0	38
Viruses;Heunggongvirae;Uroviricota;Caudoviricetes;Caudoviricetes_Incertae_sedis;Peduoviridae;Wadgaonvirus;Wadgaonvirus wv5004651	4	6	2	1	0	2	1	1	0	2	0	1	0	0	0	1	0	0	10	0	0	0	4	35
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus bombicola	3	1	0	5	1	0	1	0	0	1	0	1	0	7	0	4	1	0	10	0	0	0	0	35
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium asteroides	0	1	1	5	0	2	0	2	0	1	0	2	0	5	0	0	1	0	9	1	0	0	2	32
Viruses;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Dicistroviridae;Aparavirus;Aparavirus apisacutum	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	8	10	0	0	9	0	0	30
