date collection,island,location,location2,colony id,discription_2,approx_address,lab_sample_number,weight_30_bees,library,barcode,alias,notes,code
22-Jan-25,Kauai,Anahola,Anahola,K-F5,Doug,"22.159753, -159.314792 Anahola, Hawaii 96703",25,4.263,Laura_library2,1,AnaholaK-F5,,AN5
22-Jan-25,Kauai,Anahola,Anahola,K-F6,Doug,"22.159753, -159.314792 Anahola, Hawaii 96703",26,3.999,Laura_library2,2,AnaholaK-F6,,AN6
22-Jan-25,Kauai,old house,old_house,K-G1,,"4104 Wailapa Rd, Kilauea, HI 96754",27,2.961,Laura_library2,3,old_houseK-G1,,OH1
22-Jan-25,Kauai,Hanalei spirits,Hanalei_spirits,K-H1,,"4241 Kahili Makai St, Kilauea, HI 96754",28,4.106,Laura_library2,4,Hanalei_spiritsK-H1,,HA1
22-Jan-25,Kauai,Hanalei spirits,Hanalei_spirits,K-H2,,"4241 Kahili Makai St, Kilauea, HI 96754",29,4.067,Laura_library2,5,Hanalei_spiritsK-H2,,HA2
22-Jan-25,Kauai,Hanalei spirits,Hanalei_spirits,K-H3,,"4241 Kahili Makai St, Kilauea, HI 96754",30,4.19,Laura_library2,6,Hanalei_spiritsK-H3,,HA3
22-Jan-25,Kauai,Hanalei spirits,Hanalei_spirits,K-H4,,"4241 Kahili Makai St, Kilauea, HI 96754",31,3.618,Laura_library2,7,Hanalei_spiritsK-H4,,HA4
22-Jan-25,Kauai,Mac nuts,Mac_nuts,K-I1,slim,"52988 Kuhio Hwy, Kilauea, HI 96754",32,4.316,Laura_library2,8,Mac_nutsK-I1,,MA1
22-Jan-25,Kauai,Mac nuts,Mac_nuts,K-I2,slim,"52988 Kuhio Hwy, Kilauea, HI 96754",33,3.606,Laura_library2,9,Mac_nutsK-I2,,MA2
22-Jan-25,Kauai,Mac nuts,Mac_nuts,K-I3,slim,"52988 Kuhio Hwy, Kilauea, HI 96754",34,3.735,Laura_library2,10,Mac_nutsK-I3,,MA3
unk,Jamaica,,Jamaica_E,17,EHB,,87,,Laura_library4,15,EHB17,,NA
unk,Jamaica,,Jamaica_A,42,AHB,,88,,Laura_library4,16,AHB42,,NA
unk,Jamaica,,Jamaica_A,32,AHB,,89,,Laura_library4,17,AHB32,,NA
unk,Jamaica,,Jamaica_A,40,AHB,,90,,Laura_library4,18,AHB40,,NA
unk,Jamaica,,Jamaica_A,22,AHB,,91,,Laura_library4,19,AHB22,,NA
unk,Jamaica,,Jamaica_E,24,EHB,,92,,Laura_library4,20,EHB24,,NA
unk,Jamaica,,Jamaica_E,2,EHB,,93,,Laura_library4,21,EHB2,,NA
unk,Jamaica,,Jamaica_E,44,EHB,,94,,Laura_library4,22,EHB44,,NA
